Archive_Date,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total
31-01-18,0.00,Small Volume Specialities,Inpatient,Child,0-15,  6-9 Months,1.00
31-01-18,0.00,Small Volume Specialities,Inpatient,Child,16-64,  9-12 Months,1.00
31-01-18,400.00,Endocrinology,Day Case,Child,0-15,  3-6 Months,1.00
31-01-18,400.00,Endocrinology,Day Case,Child,0-15, 12-15 Months,1.00
31-01-18,600.00,Otolaryngology (ENT),Day Case,Child,0-15,  0-3 Months,14.00
31-01-18,600.00,Otolaryngology (ENT),Day Case,Child,0-15,  3-6 Months,2.00
31-01-18,600.00,Otolaryngology (ENT),Day Case,Child,0-15,  6-9 Months,1.00
31-01-18,600.00,Otolaryngology (ENT),Day Case,Child,0-15,  9-12 Months,2.00
31-01-18,600.00,Otolaryngology (ENT),Day Case,Child,0-15, 12-15 Months,2.00
31-01-18,600.00,Otolaryngology (ENT),Inpatient,Child,0-15,  0-3 Months,44.00
31-01-18,600.00,Otolaryngology (ENT),Inpatient,Child,0-15,  3-6 Months,12.00
31-01-18,600.00,Otolaryngology (ENT),Inpatient,Child,0-15,  6-9 Months,5.00
31-01-18,600.00,Otolaryngology (ENT),Inpatient,Child,0-15,  9-12 Months,2.00
31-01-18,600.00,Otolaryngology (ENT),Inpatient,Child,16-64,  0-3 Months,1.00
31-01-18,1300.00,Neurology,Day Case,Child,0-15, 15-18 Months,1.00
31-01-18,1300.00,Neurology,Inpatient,Child,0-15,  0-3 Months,1.00
31-01-18,1300.00,Neurology,Inpatient,Child,0-15,  3-6 Months,1.00
31-01-18,1300.00,Neurology,Inpatient,Child,0-15,  6-9 Months,1.00
31-01-18,1400.00,Neurosurgery,Day Case,Child,0-15,  0-3 Months,1.00
31-01-18,1400.00,Neurosurgery,Inpatient,Child,0-15,  0-3 Months,2.00
31-01-18,1400.00,Neurosurgery,Inpatient,Child,0-15,  3-6 Months,1.00
31-01-18,1700.00,Ophthalmology,Day Case,Child,0-15,  0-3 Months,30.00
31-01-18,1700.00,Ophthalmology,Day Case,Child,0-15,  3-6 Months,21.00
31-01-18,1700.00,Ophthalmology,Day Case,Child,0-15,  6-9 Months,5.00
31-01-18,1700.00,Ophthalmology,Day Case,Child,0-15,  9-12 Months,7.00
31-01-18,1700.00,Ophthalmology,Day Case,Child,0-15, 12-15 Months,3.00
31-01-18,1700.00,Ophthalmology,Day Case,Child,0-15, 15-18 Months,2.00
31-01-18,1700.00,Ophthalmology,Inpatient,Child,0-15,  0-3 Months,2.00
31-01-18,1700.00,Ophthalmology,Inpatient,Child,0-15,  3-6 Months,2.00
31-01-18,1700.00,Ophthalmology,Inpatient,Child,0-15,  9-12 Months,1.00
31-01-18,1700.00,Ophthalmology,Inpatient,Child,0-15, 12-15 Months,1.00
31-01-18,1700.00,Ophthalmology,Inpatient,Child,0-15, 15-18 Months,1.00
31-01-18,1800.00,Orthopaedics,Day Case,Child,0-15,  0-3 Months,36.00
31-01-18,1800.00,Orthopaedics,Day Case,Child,0-15,  3-6 Months,40.00
31-01-18,1800.00,Orthopaedics,Day Case,Child,0-15,  6-9 Months,20.00
